book1,book2,weight
49052,111413,9
49057,52722,7
49057,60389,4
49057,64769,11
49057,65670,8
49057,88772,15
49057,88800,12
49057,95399,13
49057,97482,3
49057,107021,13
49057,111413,15
52722,60389,4
52722,64769,11
52722,65670,7
52722,88772,6
52722,88800,7
52722,95399,9
52722,97482,3
52722,107021,29
52722,111413,8
60389,64769,11
60389,65670,3
60389,88772,9
60389,88800,6
60389,95399,12
60389,97482,2
60389,107021,6
60389,111413,13
64769,65670,11
64769,88772,16
64769,88800,11
64769,97482,3
64769,107021,13
64769,111413,24
65670,88772,5
65670,88800,5
65670,97482,3
88772,88800,25
88772,97482,3
88772,107021,11
88772,111413,55
88800,95399,29
88800,97482,2
88800,111413,28
95399,97482,2
97482,107021,2
97482,111413,2
16234,77571,2
1387,60389,16
1526,2609,33
1526,5506,30
1526,6877,36
1526,18370,18
1526,36403,8
1526,78262,10
1526,88772,35
1526,117994,15
1526,130535,31
1526,253249,10
1526,411993,5
2609,6877,30
2609,6882,32
2609,18370,22
2609,36403,8
2609,78262,13
2609,117994,28
2609,130535,40
2609,253249,12
2609,411993,10
5506,6877,72
5506,6882,58
5506,16234,23
5506,18370,18
5506,26886,35
5506,36403,6
5506,78262,9
5506,88772,39
5506,95399,43
5506,111413,43
5506,117994,50
5506,253249,10
5506,411993,13
6877,6882,75
6877,16234,26
6877,18370,16
6877,26886,37
6877,36403,6
6877,78262,9
6877,88772,35
6877,95399,41
6877,111413,44
6877,117994,43
6877,130535,57
6877,253249,7
6877,411993,12
6882,16234,29
6882,18370,14
6882,26886,68
6882,36403,3
6882,78262,3
6882,88772,38
6882,95399,40
6882,111413,40
6882,117994,34
6882,130535,43
6882,253249,4
6882,411993,9
16234,18370,10
16234,26886,45
16234,36403,4
16234,88772,26
16234,117994,14
16234,130535,28
16234,253249,4
16234,411993,10
18370,26886,11
18370,36403,8
18370,78262,12
18370,88772,19
18370,95399,18
18370,111413,20
18370,117994,15
18370,130535,22
18370,411993,10
26886,36403,5
26886,117994,20
26886,130535,40
26886,253249,6
26886,411993,12
36403,88772,7
36403,95399,8
36403,111413,8
36403,117994,6
36403,130535,8
36403,253249,4
36403,411993,5
78262,88772,11
78262,117994,5
78262,130535,11
78262,253249,5
78262,411993,5
88772,117994,26
88772,130535,36
88772,253249,10
88772,411993,11
95399,117994,36
95399,130535,45
95399,253249,7
95399,411993,11
111413,117994,38
111413,130535,43
111413,253249,6
111413,411993,13
117994,130535,30
117994,253249,7
117994,411993,11
130535,253249,8
130535,411993,10
253249,411993,3
64562,70479,6
5506,90045,4
5506,111474,47
